category,ghe_psnr,clahe_psnr,ghe_ssim,clahe_ssim,ghe_naturalness,clahe_naturalness
backlit_silhouette,11.765,25.015,0.363,0.769,0.851,0.886
bright_sunlight_shadow,12.902,24.067,0.556,0.881,0.919,0.942
dark_portrait,12.2,29.788,0.467,0.634,0.639,0.694
foggy_landscape,16.647,22.712,0.846,0.902,0.945,0.968
indoor_window_light,12.572,21.773,0.681,0.881,0.948,0.949
low_light_interior,7.011,21.014,0.217,0.732,0.891,0.817
misty_mountain,20.809,24.744,0.882,0.92,0.937,0.926
monochrome_texture,12.379,19.303,0.607,0.802,0.936,0.881
night_street,8.158,19.047,0.245,0.652,0.924,0.878
overcast_sky,11.457,18.988,0.698,0.901,0.951,0.903
sunset_portrait,14.262,24.075,0.68,0.903,0.946,0.962
